 ik      kx      ky      kz   gamma_raw  gamma_lowdin
121  -0.113   0.065   0.000      0.2013        0.2013
122  -0.113   0.065   0.100      0.1923        0.1923
123  -0.113   0.065  -0.200      0.1828        0.1828
124  -0.113   0.065  -0.100      0.1855        0.1855
125   0.000   0.130   0.000      0.2013        0.2013
126   0.000   0.130   0.100      0.1855        0.1855
127   0.000   0.130  -0.200      0.1828        0.1828
128   0.000   0.130  -0.100      0.1923        0.1923
129   0.113   0.196   0.000      0.1484        0.1484
130   0.113   0.196   0.100      0.1446        0.1446
131   0.113   0.196  -0.200      0.1424        0.1424
132   0.113   0.196  -0.100      0.1446        0.1446
133  -0.452  -0.130   0.000      0.1271        0.1271
134  -0.452  -0.130   0.100      0.1278        0.1278
135  -0.452  -0.130  -0.200      0.1246        0.1246
136  -0.452  -0.130  -0.100      0.1251        0.1251
137  -0.339  -0.065   0.000      0.1271        0.1271
138  -0.339  -0.065   0.100      0.1251        0.1251
139  -0.339  -0.065  -0.200      0.1246        0.1246
140  -0.339  -0.065  -0.100      0.1278        0.1278
141  -0.226   0.000   0.000      0.1484        0.1484
142  -0.226   0.000   0.100      0.1446        0.1446
143  -0.226   0.000  -0.200      0.1424        0.1424
144  -0.226   0.000  -0.100      0.1446        0.1446
------------------------------------------------
max gamma (raw)    = 2.0941
max gamma (lowdin) = 2.0941   <-- reported spillage
reference spillage = 2.075
