 ik      kx      ky      kz   gamma_raw  gamma_lowdin
121  -0.405   0.527   0.000      0.1383        0.1383
122  -0.529   0.454   0.056      0.1747        0.1747
123  -0.652   0.381   0.111      0.2216        0.2216
124  -0.036   0.747  -0.166      0.2481        0.2481
125  -0.159   0.674  -0.111      0.1716        0.1716
126  -0.282   0.601  -0.055      0.1409        0.1409
127  -0.405  -0.241   0.001      0.1436        0.1436
128  -0.528  -0.315   0.056      0.1608        0.1608
129  -0.652  -0.388   0.112      0.2481        0.2481
130  -0.036  -0.021  -0.166      0.3909        0.3909
131  -0.159  -0.095  -0.110      0.2481        0.2481
132  -0.282  -0.168  -0.055      0.1608        0.1608
133  -0.405  -0.087   0.001      0.1383        0.1383
134  -0.529  -0.161   0.056      0.1409        0.1409
135  -0.652  -0.234   0.112      0.1716        0.1716
136  -0.036   0.132  -0.166      0.2481        0.2481
137  -0.159   0.059  -0.110      0.2216        0.2216
138  -0.282  -0.014  -0.055      0.1747        0.1747
139  -0.405   0.066   0.000      0.1379        0.1379
140  -0.529  -0.007   0.056      0.1220        0.1220
141  -0.652  -0.080   0.111      0.1409        0.1409
142  -0.036   0.286  -0.166      0.1608        0.1608
143  -0.159   0.213  -0.111      0.1747        0.1747
144  -0.282   0.140  -0.055      0.1833        0.1833
145  -0.270   0.147   0.000      0.1755        0.1755
146  -0.393   0.073   0.056      0.1360        0.1360
147  -0.517   0.000   0.111      0.1220        0.1220
148   0.099   0.367  -0.166      0.1383        0.1383
149  -0.024   0.293  -0.111      0.1524        0.1524
150  -0.147   0.220  -0.055      0.1817        0.1817
151  -0.270   0.300   0.000      0.1360        0.1360
152  -0.393   0.227   0.056      0.1413        0.1413
153  -0.517   0.154   0.111      0.1431        0.1431
154   0.099   0.520  -0.166      0.1409        0.1409
155  -0.024   0.447  -0.111      0.1431        0.1431
156  -0.147   0.374  -0.055      0.1383        0.1383
157  -0.270   0.454   0.000      0.1220        0.1220
158  -0.394   0.381   0.056      0.1431        0.1431
159  -0.517   0.307   0.111      0.1778        0.1778
160   0.099   0.674  -0.167      0.1716        0.1716
161  -0.024   0.601  -0.111      0.1778        0.1778
162  -0.147   0.527  -0.056      0.1431        0.1431
163  -0.270  -0.315   0.001      0.1383        0.1383
164  -0.393  -0.388   0.056      0.1409        0.1409
165  -0.517  -0.461   0.112      0.1716        0.1716
166   0.099  -0.095  -0.166      0.2481        0.2481
167  -0.024  -0.168  -0.110      0.2216        0.2216
168  -0.147  -0.241  -0.055      0.1747        0.1747
169  -0.270  -0.161   0.000      0.1524        0.1524
170  -0.393  -0.234   0.056      0.1431        0.1431
171  -0.517  -0.307   0.111      0.1778        0.1778
172   0.099   0.059  -0.166      0.2216        0.2216
173  -0.024  -0.014  -0.111      0.4846        0.4846
174  -0.147  -0.087  -0.055      0.2649        0.2649
175  -0.270  -0.007   0.000      0.1817        0.1817
