 ik      kx      ky      kz   gamma_raw  gamma_lowdin
121  -0.156   0.603   0.069      0.2098        0.2098
122  -0.156   0.603   0.214      0.2494        0.2494
123  -0.157   0.603   0.359      0.3106        0.3106
124  -0.156   0.603  -0.365      0.4581        0.4581
125  -0.156   0.603  -0.221      0.2388        0.2388
126  -0.156   0.603  -0.076      0.2183        0.2183
127  -0.156  -0.033   0.415      0.1913        0.1913
128  -0.156  -0.033   0.560      0.2099        0.2099
129  -0.156  -0.033   0.705      0.4581        0.4581
130  -0.155  -0.033  -0.020      0.6572        0.6572
131  -0.155  -0.033   0.125      0.4581        0.4581
132  -0.155  -0.033   0.270      0.2099        0.2099
133  -0.156   0.094   0.346      0.2098        0.2098
134  -0.156   0.094   0.491      0.2183        0.2183
135  -0.156   0.094   0.635      0.2388        0.2388
136  -0.155   0.094  -0.089      0.4581        0.4581
137  -0.155   0.094   0.056      0.3106        0.3106
138  -0.156   0.094   0.201      0.2494        0.2494
139  -0.156   0.221   0.277      0.1976        0.1976
140  -0.156   0.221   0.421      0.1809        0.1809
141  -0.156   0.221   0.566      0.2183        0.2183
142  -0.155   0.221  -0.158      0.2099        0.2099
143  -0.156   0.221  -0.013      0.2494        0.2494
144  -0.156   0.221   0.132      0.3041        0.3041
145  -0.104   0.232   0.138      0.2647        0.2647
146  -0.104   0.232   0.283      0.1948        0.1948
147  -0.104   0.232   0.428      0.1826        0.1826
148  -0.104   0.233  -0.296      0.2098        0.2098
149  -0.104   0.232  -0.151      0.1951        0.1951
150  -0.104   0.232  -0.007      0.2757        0.2757
151  -0.104   0.360   0.069      0.1948        0.1948
152  -0.104   0.360   0.214      0.1860        0.1860
153  -0.104   0.360   0.359      0.2180        0.2180
154  -0.104   0.360  -0.365      0.2183        0.2183
155  -0.104   0.360  -0.221      0.1856        0.1856
156  -0.104   0.360  -0.076      0.2080        0.2080
157  -0.104   0.487   0.000      0.1826        0.1826
158  -0.104   0.487   0.145      0.2180        0.2180
159  -0.105   0.487   0.290      0.2551        0.2551
160  -0.104   0.487  -0.435      0.2388        0.2388
161  -0.104   0.487  -0.290      0.2551        0.2551
162  -0.104   0.487  -0.145      0.2180        0.2180
163  -0.104  -0.149   0.346      0.2098        0.2098
164  -0.104  -0.150   0.491      0.2183        0.2183
165  -0.104  -0.150   0.635      0.2388        0.2388
166  -0.103  -0.149  -0.089      0.4581        0.4581
167  -0.103  -0.149   0.056      0.3106        0.3106
168  -0.103  -0.149   0.201      0.2494        0.2494
169  -0.104  -0.022   0.277      0.1951        0.1951
170  -0.104  -0.022   0.421      0.1856        0.1856
171  -0.104  -0.022   0.566      0.2551        0.2551
172  -0.103  -0.022  -0.158      0.3106        0.3106
173  -0.103  -0.022  -0.013      1.1384        1.1384
174  -0.104  -0.022   0.132      0.4021        0.4021
175  -0.104   0.105   0.207      0.2757        0.2757
176  -0.104   0.105   0.352      0.2080        0.2080
177  -0.104   0.105   0.497      0.2180        0.2180
178  -0.103   0.105  -0.227      0.2494        0.2494
179  -0.104   0.105  -0.082      0.4021        0.4021
180  -0.104   0.105   0.063      0.2765        0.2765
181  -0.052   0.116   0.069      0.3162        0.3162
182  -0.052   0.116   0.214      0.2899        0.2899
183  -0.052   0.116   0.359      0.1948        0.1948
184  -0.052   0.116  -0.365      0.1976        0.1976
185  -0.052   0.116  -0.221      0.2757        0.2757
186  -0.052   0.116  -0.076      0.3834        0.3834
187  -0.052   0.244   0.000      0.2899        0.2899
188  -0.052   0.243   0.145      0.2110        0.2110
189  -0.052   0.243   0.290      0.2080        0.2080
190  -0.052   0.244  -0.435      0.1809        0.1809
191  -0.052   0.244  -0.290      0.2080        0.2080
