 ik      kx      ky      kz   gamma_raw  gamma_lowdin
122  -0.484   0.391   0.120      0.0590        0.0590
123  -0.553   0.342   0.240      0.0902        0.0902
124  -0.207   0.587  -0.359      0.0771        0.0771
125  -0.277   0.538  -0.240      0.0520        0.0520
126  -0.346   0.489  -0.120      0.0395        0.0395
127  -0.415  -0.293   0.000      0.0332        0.0332
128  -0.484  -0.342   0.120      0.0392        0.0392
129  -0.553  -0.391   0.240      0.0771        0.0771
130  -0.207  -0.147  -0.359      2.0103        2.0103
131  -0.277  -0.196  -0.240      0.0771        0.0771
132  -0.346  -0.244  -0.120      0.0392        0.0392
133  -0.415  -0.147   0.000      0.0392        0.0392
134  -0.484  -0.196   0.120      0.0395        0.0395
135  -0.553  -0.244   0.240      0.0520        0.0520
136  -0.207  -0.000  -0.359      0.0771        0.0771
137  -0.277  -0.049  -0.240      0.0902        0.0902
138  -0.346  -0.098  -0.120      0.0590        0.0590
139  -0.415  -0.000   0.000      0.0771        0.0771
140  -0.484  -0.049   0.120      0.0520        0.0520
141  -0.553  -0.098   0.240      0.0395        0.0395
142  -0.207   0.147  -0.359      0.0392        0.0392
143  -0.277   0.098  -0.240      0.0590        0.0590
144  -0.346   0.049  -0.120      0.0902        0.0902
145  -0.277   0.098   0.000      0.0550        0.0550
146  -0.346   0.049   0.120      0.0902        0.0902
147  -0.415  -0.000   0.240      0.0464        0.0464
148  -0.069   0.244  -0.359      0.0392        0.0392
149  -0.138   0.196  -0.240      0.0454        0.0454
150  -0.207   0.147  -0.120      0.0821        0.0821
151  -0.277   0.244   0.000      0.0902        0.0902
152  -0.346   0.196   0.120      0.0771        0.0771
153  -0.415   0.147   0.240      0.0520        0.0520
154  -0.069   0.391  -0.359      0.0395        0.0395
155  -0.138   0.342  -0.240      0.0392        0.0392
156  -0.207   0.293  -0.120      0.0590        0.0590
157  -0.277   0.391   0.000      0.0464        0.0464
158  -0.346   0.342   0.120      0.0520        0.0520
159  -0.415   0.293   0.240      0.0464        0.0464
160  -0.069   0.538  -0.359      0.0520        0.0520
161  -0.138   0.489  -0.240      0.0464        0.0464
162  -0.207   0.440  -0.120      0.0520        0.0520
163  -0.277  -0.342   0.000      0.0392        0.0392
164  -0.346  -0.391   0.120      0.0395        0.0395
165  -0.415  -0.440   0.240      0.0520        0.0520
166  -0.069  -0.196  -0.359      0.0771        0.0771
167  -0.138  -0.244  -0.240      0.0902        0.0902
168  -0.207  -0.293  -0.120      0.0590        0.0590
169  -0.277  -0.196   0.000      0.0454        0.0454
170  -0.346  -0.244   0.120      0.0392        0.0392
171  -0.415  -0.293   0.240      0.0464        0.0464
172  -0.069  -0.049  -0.359      0.0902        0.0902
173  -0.138  -0.098  -0.240      0.0550        0.0550
174  -0.207  -0.147  -0.120      0.0821        0.0821
175  -0.277  -0.049   0.000      0.0821        0.0821
176  -0.346  -0.098   0.120      0.0590        0.0590
177  -0.415  -0.147   0.240      0.0520        0.0520
178  -0.069   0.098  -0.359      0.0590        0.0590
179  -0.138   0.049  -0.240      0.0821        0.0821
180  -0.207  -0.000  -0.120      0.0405        0.0405
181  -0.138   0.049   0.000      0.0258        0.0258
182  -0.207  -0.000   0.120      0.0405        0.0405
183  -0.277  -0.049   0.240      0.0902        0.0902
184   0.069   0.196  -0.359      0.0771        0.0771
185   0.000   0.147  -0.240      0.0821        0.0821
186  -0.069   0.098  -0.120      0.0630        0.0630
187  -0.138   0.196   0.000      0.0405        0.0405
188  -0.207   0.147   0.120      0.0821        0.0821
189  -0.277   0.098   0.240      0.0590        0.0590
190   0.069   0.342  -0.359      0.0520        0.0520
191   0.000   0.293  -0.240      0.0590        0.0590
192  -0.069   0.244  -0.120      0.0821        0.0821
193  -0.138   0.342   0.000      0.0902        0.0902
194  -0.207   0.293   0.120      0.0590        0.0590
195  -0.277   0.244   0.240      0.0392        0.0392
196   0.069   0.489  -0.359      0.0395        0.0395
197   0.000   0.440  -0.240      0.0520        0.0520
198  -0.069   0.391  -0.120      0.0771        0.0771
199  -0.138  -0.391   0.000      0.0771        0.0771
200  -0.207  -0.440   0.120      0.0520        0.0520
201  -0.277  -0.489   0.240      0.0395        0.0395
202   0.069  -0.244  -0.359      0.0392        0.0392
203   0.000  -0.293  -0.240      0.0590        0.0590
204  -0.069  -0.342  -0.120      0.0902        0.0902
205  -0.138  -0.244   0.000      0.0821        0.0821
206  -0.207  -0.293   0.120      0.0590        0.0590
207  -0.277  -0.342   0.240      0.0520        0.0520
208   0.069  -0.098  -0.359      0.0590        0.0590
209   0.000  -0.147  -0.240      0.0821        0.0821
210  -0.069  -0.196  -0.120      0.0405        0.0405
211  -0.138  -0.098   0.000      0.0630        0.0630
212  -0.207  -0.147   0.120      0.0821        0.0821
213  -0.277  -0.196   0.240      0.0771        0.0771
214   0.069   0.049  -0.359      0.0902        0.0902
215   0.000   0.000  -0.240      0.0405        0.0405
216  -0.069  -0.049  -0.120      0.0258        0.0258
------------------------------------------------
max gamma (raw)    = 2.0103
max gamma (lowdin) = 2.0103   <-- reported spillage
JARVIS (VASP) reference for Ba3BiSb = 2.267
